Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
XGBoost,0.9264342998149291,0.858886346300534,0.7940761636107193,0.8252106998900697,0.9513138838140495
Random Forest,0.9238124614435533,0.8824503311258278,0.7517630465444288,0.8118811881188119,0.9263288763219716
Decision Tree,0.9108574953732264,0.8511705685618729,0.7179125528913963,0.7788829380260138,0.89511042392743
